"longitude","latitude","housingMedianAge","totalRooms","totalBedrooms","population","households","medianIncome","medianHouseValue","avgBedrooms","avgRooms","fold_id","preds","residuals"
-122.23,37.88,41,880,129,322,126,8.3252,452600,1.02380952380952,6.98412698412698,1,406645.250523536,45954.7494764635
-122.24,37.85,52,1467,190,496,177,7.2574,352100,1.07344632768362,8.28813559322034,1,436835.228128016,-84735.228128016
-122.25,37.84,52,2535,489,1094,514,3.6591,299200,0.95136186770428,4.93190661478599,1,253426.355284986,45773.6447150142
-122.27,37.85,42,1639,367,929,366,1.7135,159800,1.00273224043716,4.47814207650273,1,134405.106753347,25394.893246653
-122.28,37.84,50,2082,492,1131,473,1.6424,108900,1.04016913319239,4.40169133192389,1,131254.152953494,-22354.1529534936
-122.27,37.83,51,2665,574,1258,536,2.7303,109700,1.07089552238806,4.97201492537313,1,187634.653754976,-77934.6537549759
-122.26,37.83,52,1470,330,689,309,3.48,191400,1.06796116504854,4.75728155339806,1,218367.78508814,-26967.7850881398
-122.26,37.83,52,2432,715,1377,696,2.5898,176000,1.02729885057471,3.49425287356322,1,232599.175789554,-56599.1757895545
-122.26,37.83,52,1656,420,718,382,2.6768,182300,1.09947643979058,4.33507853403141,1,188948.804993312,-6648.80499331208
-122.28,37.82,52,1489,335,728,244,0.8172,85300,1.37295081967213,6.10245901639344,1,79272.237682673,6027.76231732704
-122.3,37.81,48,1455,354,788,332,0.8056,84400,1.06626506024096,4.38253012048193,1,79829.2532171408,4570.7467828592
-122.29,37.81,46,12,4,18,7,0.4999,67500,0.571428571428571,1.71428571428571,1,103997.74882844,-36497.7488284401
-122.28,37.81,17,1237,462,762,439,0.9241,177500,1.05239179954442,2.81776765375854,1,154146.865181075,23353.1348189246
-122.28,37.81,52,340,97,200,87,1.5208,112500,1.11494252873563,3.90804597701149,1,105025.720376896,7474.2796231044
-122.28,37.81,35,948,184,467,169,1.8088,118800,1.0887573964497,5.6094674556213,1,130231.611373619,-11431.6113736195
-122.28,37.81,52,773,143,377,115,2.4083,98200,1.24347826086957,6.72173913043478,1,105729.236877548,-7529.23687754769
-122.27,37.8,39,1715,623,1327,467,1.8477,179200,1.33404710920771,3.67237687366167,1,121285.146126545,57914.8538734547
